BioProject,Run,LibraryStrategy,Annotation
PRJNA1161590,SRR30674656,RNA-Seq,RNA-Seq
PRJNA1161590,SRR30674655,RNA-Seq,RNA-Seq
PRJNA1161590,SRR30674652,Ribo-Seq,"Ribo-Seq,RNC-Seq"
PRJNA1161590,SRR30674651,Ribo-Seq,"Ribo-Seq,RNC-Seq"
PRJNA1161590,SRR30674658,RNA-Seq,RNA-Seq
PRJNA1161590,SRR30674657,RNA-Seq,RNA-Seq
PRJNA1161590,SRR30674654,Ribo-Seq,"Ribo-Seq,RNC-Seq"
PRJNA1161590,SRR30674653,Ribo-Seq,"Ribo-Seq,RNC-Seq"
