BioProject,Run,LibraryStrategy,Annotation
PRJDB10882,DRR259145,RNA-Seq,RNA-Seq
PRJDB10882,DRR259146,RNA-Seq,RNA-Seq
PRJDB10882,DRR259147,OTHER,Ribo-Seq
PRJDB10882,DRR259148,OTHER,Ribo-Seq
PRJDB10882,DRR259149,RNA-Seq,RNA-Seq
PRJDB10882,DRR259150,RNA-Seq,RNA-Seq
PRJDB10882,DRR259151,OTHER,Ribo-Seq
PRJDB10882,DRR259152,OTHER,Ribo-Seq
