BioProject,Run,LibraryStrategy,Annotation
PRJNA956972,SRR24207638,OTHER,Ribo-Seq
PRJNA956972,SRR24207637,OTHER,Ribo-Seq
PRJNA956972,SRR24207634,OTHER,Ribo-Seq
PRJNA956972,SRR24207633,OTHER,Ribo-Seq
PRJNA956972,SRR24207635,OTHER,Ribo-Seq
PRJNA956972,SRR24207632,OTHER,Ribo-Seq
PRJNA956972,SRR24207636,OTHER,Ribo-Seq
PRJNA956972,SRR24207631,OTHER,Ribo-Seq
PRJNA956972,SRR24207630,OTHER,Ribo-Seq
PRJNA956972,SRR24207627,OTHER,Ribo-Seq
PRJNA956972,SRR24207626,OTHER,Ribo-Seq
PRJNA956972,SRR24207628,OTHER,Ribo-Seq
PRJNA956972,SRR24207625,OTHER,Ribo-Seq
PRJNA956972,SRR24207629,OTHER,Ribo-Seq
PRJNA956972,SRR24207624,OTHER,Ribo-Seq
