BioProject,Run,LibraryStrategy,Annotation
PRJNA1055925,SRR27329463,RNA-Seq,RNA-Seq
PRJNA1055925,SRR27329462,RNA-Seq,RNA-Seq
PRJNA1055925,SRR27329461,OTHER,Ribo-Seq
PRJNA1055925,SRR27329460,OTHER,Ribo-Seq
PRJNA1055925,SRR27329459,RNA-Seq,RNA-Seq
PRJNA1055925,SRR27329458,RNA-Seq,RNA-Seq
PRJNA1055925,SRR27329457,OTHER,Ribo-Seq
PRJNA1055925,SRR27329456,OTHER,Ribo-Seq
PRJNA1055925,SRR27329455,RNA-Seq,RNA-Seq
PRJNA1055925,SRR27329454,OTHER,Ribo-Seq
PRJNA1055925,SRR27329453,RNA-Seq,RNA-Seq
PRJNA1055925,SRR27329452,OTHER,Ribo-Seq
