BioProject,Run,LibraryStrategy,Annotation
PRJNA1004312,SRR25604697,OTHER,Ribo-Seq
PRJNA1004312,SRR25604696,OTHER,Ribo-Seq
PRJNA1004312,SRR25604695,RNA-Seq,RNA-Seq
PRJNA1004312,SRR25604694,RNA-Seq,RNA-Seq
PRJNA1004312,SRR25604693,OTHER,Ribo-Seq
PRJNA1004312,SRR25604692,OTHER,Ribo-Seq
PRJNA1004312,SRR25604691,RNA-Seq,RNA-Seq
PRJNA1004312,SRR25604690,RNA-Seq,RNA-Seq
